model,category,figure_index,image_name,true_label,pred_label,prob_positive,plot_file
LightGBMXT_BAG_L1,correct,1,TN3K_test_0165.jpg,0,0,0.014888378791511059,LightGBMXT_BAG_L1_waterfall_correct_1
LightGBMXT_BAG_L1,correct,2,TN3K_test_0066.jpg,0,0,0.02199232205748558,LightGBMXT_BAG_L1_waterfall_correct_2
LightGBMXT_BAG_L1,correct,3,TN3K_test_0254.jpg,0,0,0.022480187937617302,LightGBMXT_BAG_L1_waterfall_correct_3
LightGBMXT_BAG_L1,correct,4,TN3K_test_0057.jpg,0,0,0.024578602984547615,LightGBMXT_BAG_L1_waterfall_correct_4
LightGBMXT_BAG_L1,correct,5,TN3K_test_0080.jpg,0,0,0.02459675632417202,LightGBMXT_BAG_L1_waterfall_correct_5
LightGBMXT_BAG_L1,correct,6,TN3K_test_0335.jpg,0,0,0.025596970692276955,LightGBMXT_BAG_L1_waterfall_correct_6
LightGBMXT_BAG_L1,correct,7,TN3K_test_0264.jpg,0,0,0.0257960744202137,LightGBMXT_BAG_L1_waterfall_correct_7
LightGBMXT_BAG_L1,correct,8,TN3K_test_0064.jpg,0,0,0.026379277929663658,LightGBMXT_BAG_L1_waterfall_correct_8
LightGBMXT_BAG_L1,correct,9,TN3K_test_0247.jpg,0,0,0.027570629492402077,LightGBMXT_BAG_L1_waterfall_correct_9
LightGBMXT_BAG_L1,correct,10,TN3K_test_0169.jpg,0,0,0.028738712891936302,LightGBMXT_BAG_L1_waterfall_correct_10
LightGBMXT_BAG_L1,incorrect,1,TN3K_test_0381.jpg,1,0,0.029179276898503304,LightGBMXT_BAG_L1_waterfall_incorrect_1
LightGBMXT_BAG_L1,incorrect,2,TN3K_test_0571.jpg,1,0,0.03569571673870087,LightGBMXT_BAG_L1_waterfall_incorrect_2
LightGBMXT_BAG_L1,incorrect,3,TN3K_test_0398.jpg,1,0,0.06759697943925858,LightGBMXT_BAG_L1_waterfall_incorrect_3
LightGBMXT_BAG_L1,incorrect,4,TN3K_test_0582.jpg,1,0,0.07955464720726013,LightGBMXT_BAG_L1_waterfall_incorrect_4
LightGBMXT_BAG_L1,incorrect,5,TN3K_test_0497.jpg,1,0,0.0807328149676323,LightGBMXT_BAG_L1_waterfall_incorrect_5
LightGBMXT_BAG_L1,incorrect,6,TN3K_test_0406.jpg,1,0,0.09929521381855011,LightGBMXT_BAG_L1_waterfall_incorrect_6
LightGBMXT_BAG_L1,incorrect,7,TN3K_test_0449.jpg,1,0,0.1056518629193306,LightGBMXT_BAG_L1_waterfall_incorrect_7
LightGBMXT_BAG_L1,incorrect,8,TN3K_test_0469.jpg,1,0,0.1209474503993988,LightGBMXT_BAG_L1_waterfall_incorrect_8
LightGBMXT_BAG_L1,incorrect,9,TN3K_test_0566.jpg,1,0,0.13584643602371216,LightGBMXT_BAG_L1_waterfall_incorrect_9
LightGBMXT_BAG_L1,incorrect,10,TN3K_test_0122.jpg,0,1,0.8510088324546814,LightGBMXT_BAG_L1_waterfall_incorrect_10
LightGBMXT_BAG_L1,best,1,TN3K_test_0165.jpg,0,0,0.014888378791511059,LightGBMXT_BAG_L1_waterfall_best_1
LightGBMXT_BAG_L1,best,2,TN3K_test_0066.jpg,0,0,0.02199232205748558,LightGBMXT_BAG_L1_waterfall_best_2
LightGBMXT_BAG_L1,best,3,TN3K_test_0254.jpg,0,0,0.022480187937617302,LightGBMXT_BAG_L1_waterfall_best_3
LightGBMXT_BAG_L1,best,4,TN3K_test_0057.jpg,0,0,0.024578602984547615,LightGBMXT_BAG_L1_waterfall_best_4
LightGBMXT_BAG_L1,best,5,TN3K_test_0080.jpg,0,0,0.02459675632417202,LightGBMXT_BAG_L1_waterfall_best_5
LightGBMXT_BAG_L1,best,6,TN3K_test_0335.jpg,0,0,0.025596970692276955,LightGBMXT_BAG_L1_waterfall_best_6
LightGBMXT_BAG_L1,best,7,TN3K_test_0264.jpg,0,0,0.0257960744202137,LightGBMXT_BAG_L1_waterfall_best_7
LightGBMXT_BAG_L1,best,8,TN3K_test_0064.jpg,0,0,0.026379277929663658,LightGBMXT_BAG_L1_waterfall_best_8
LightGBMXT_BAG_L1,best,9,TN3K_test_0247.jpg,0,0,0.027570629492402077,LightGBMXT_BAG_L1_waterfall_best_9
LightGBMXT_BAG_L1,best,10,TN3K_test_0169.jpg,0,0,0.028738712891936302,LightGBMXT_BAG_L1_waterfall_best_10
LightGBMXT_BAG_L1,medium,1,TN3K_test_0275.jpg,0,0,0.36509406566619873,LightGBMXT_BAG_L1_waterfall_medium_1
LightGBMXT_BAG_L1,medium,2,TN3K_test_0605.jpg,1,1,0.6334242820739746,LightGBMXT_BAG_L1_waterfall_medium_2
LightGBMXT_BAG_L1,medium,3,TN3K_test_0590.jpg,1,1,0.6317622065544128,LightGBMXT_BAG_L1_waterfall_medium_3
LightGBMXT_BAG_L1,medium,4,TN3K_test_0343.jpg,0,0,0.36847180128097534,LightGBMXT_BAG_L1_waterfall_medium_4
LightGBMXT_BAG_L1,medium,5,TN3K_test_0196.jpg,0,0,0.36858290433883667,LightGBMXT_BAG_L1_waterfall_medium_5
LightGBMXT_BAG_L1,medium,6,TN3K_test_0051.jpg,0,0,0.36865466833114624,LightGBMXT_BAG_L1_waterfall_medium_6
LightGBMXT_BAG_L1,medium,7,TN3K_test_0524.jpg,1,1,0.6307886242866516,LightGBMXT_BAG_L1_waterfall_medium_7
